category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41
art,0,4,0,1,0,0,0,13,1,17,0,0,2347,2007,163,184,3,9,3,1,0,0,1,8,0,0,0,16,0,0,1,1,0,1,3,0,1,0,2,0,10,0
movies_and_television,0,15,0,0,0,1,0,29,0,8,0,0,5072,3007,161,120,17,5,1,9,0,0,0,9,0,0,0,16,0,0,4,1,0,2,6,0,0,0,3,0,31,0
web_development_and_sites,0,0,0,0,0,0,0,13,0,11,0,0,144,362,85,21,0,0,1,0,0,0,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0
politics,0,33,0,0,0,0,0,34,1,7,1,0,8248,13535,642,375,0,0,0,1,0,0,9,14,0,0,0,122,0,0,0,1,0,0,0,0,0,0,1,0,1,0
sports,0,4,0,0,0,0,1,18,0,5,0,0,1890,1197,164,290,2,3,3,0,3,0,0,5,0,0,0,33,0,0,3,1,0,0,20,0,0,0,0,0,9,0
technology,0,4,0,0,0,0,0,73,0,13,0,0,2227,4899,534,412,10,5,0,3,0,0,20,44,0,0,0,162,0,0,1,2,0,0,2,0,0,0,0,1,12,0
educational,1,9,0,0,0,0,0,66,0,20,0,0,1685,3161,247,182,0,5,0,1,0,0,40,61,3,0,0,126,0,0,1,0,0,0,1,0,0,0,0,0,1,0
religion,0,0,0,1,0,0,0,35,0,0,0,1,1127,3905,34,55,0,1,0,0,0,0,1,13,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,4,0
travel,0,0,0,0,0,0,0,0,0,5,0,0,348,125,83,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,9,0
music_and_entertainment,0,0,0,0,0,0,0,6,0,6,0,0,3467,1111,104,140,1,1,25,1,0,11,2,8,0,2,0,14,0,2,2,7,0,4,10,0,0,0,8,0,26,0
the_environment,0,0,0,0,0,1,0,0,0,5,0,0,1285,147,49,20,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0
school_and_education,0,1,0,0,0,0,0,4,0,3,0,0,230,215,41,24,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
health,0,1,1,1,0,0,0,6,0,1,0,0,742,1301,54,90,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citizen_journalism,0,4,0,0,0,1,0,12,0,5,0,0,1102,2585,182,142,1,5,2,1,1,0,1,12,0,0,0,12,0,0,0,3,0,0,0,0,1,0,0,0,11,0
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,1,0,0,127,107,22,17,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
food_and_drink,0,0,0,0,0,0,0,2,0,1,0,0,558,317,97,111,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,8,0
conferences_and_other_events,0,1,0,0,0,0,0,35,0,2,0,0,474,1217,32,47,0,0,0,0,0,0,0,4,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaming,0,6,0,0,0,0,0,7,0,3,0,0,1132,1004,102,178,1,5,3,1,0,0,0,1,0,1,0,12,0,0,5,0,0,0,10,0,0,0,0,0,31,0
literature,0,1,0,0,0,0,0,0,0,0,0,0,106,31,4,93,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,0
business,0,0,0,0,0,0,0,6,0,8,0,0,249,478,74,49,0,3,0,0,0,0,4,4,0,0,0,20,0,0,0,1,0,0,2,0,0,0,0,0,4,0
the_mainstream_media,0,0,0,0,0,0,0,1,0,1,0,0,618,1060,19,40,2,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
comedy,0,3,0,0,0,0,0,1,0,6,0,0,1775,885,93,98,4,2,1,6,0,1,2,2,0,0,0,3,0,0,11,0,0,0,4,0,0,0,0,0,27,0
default_category,0,24,0,0,0,0,0,43,0,24,0,2,5032,5007,585,457,21,19,4,6,0,2,27,52,0,5,0,128,1,0,7,1,1,1,22,1,0,1,4,0,69,1
videoblogging,0,3,0,1,1,0,0,11,0,8,0,1,1387,694,189,192,8,16,9,1,0,0,4,9,0,0,0,21,0,0,0,7,0,0,7,0,0,0,5,0,47,0
documentary,0,3,0,0,0,0,0,16,0,2,0,0,1627,1266,105,112,3,13,0,4,0,0,0,5,0,0,0,10,0,0,1,2,0,0,5,0,0,0,0,0,7,0
