category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31
art,0,4,2,0,0,0,0,0,0,0,1168,1301,9,7,1,2,4,0,45,4,5,12,1,2,0,0,4,0,9,89,12,0,2116
movies_and_television,9,1,0,5,0,0,0,0,0,0,1242,1949,45,92,52,27,176,0,8,19,5,12,19,24,0,13,0,15,2,23,0,0,4779
web_development_and_sites,0,0,0,0,0,0,0,1,1,0,148,83,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,424
politics,4,0,15,4,22,58,0,0,82,24,11191,6576,14,22,1,0,6,1,17,26,41,23,2,2,0,2,17,12,11,39,0,0,4813
sports,0,0,0,0,0,0,0,0,0,11,462,955,4,0,2,4,0,0,11,11,0,1,0,0,0,14,0,2,0,6,0,0,2168
technology,0,3,1,0,0,0,1,24,2,0,3000,1422,4,3,3,4,4,20,25,131,12,5,0,6,0,1,0,24,2,19,0,27,3681
educational,0,0,0,1,0,0,0,2,0,0,1604,1091,6,1,2,2,2,37,14,8,0,10,0,2,0,9,4,12,0,19,0,0,2784
religion,1,0,0,0,0,0,0,0,0,0,2976,899,6,12,2,1,8,0,2,9,1,13,0,0,0,0,0,0,0,0,0,0,1539
travel,0,0,0,0,0,1,0,0,0,0,21,127,5,0,1,1,5,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,466
music_and_entertainment,2,22,1,12,0,0,0,0,0,0,530,1540,36,34,15,10,19,0,3,1,1,1,1,9,0,0,2,0,1,1,0,0,2717
the_environment,2,0,2,0,0,0,75,3,0,0,82,1023,0,3,0,0,0,0,0,7,1,0,0,0,0,0,2,0,0,0,0,0,317
school_and_education,0,0,0,0,0,0,0,0,0,0,38,113,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,362
health,1,0,3,0,0,0,0,0,0,0,728,488,0,7,0,0,36,0,0,1,24,0,0,0,0,0,2,0,1,3,0,0,911
citizen_journalism,0,0,8,1,6,14,0,0,0,1,1649,346,2,4,1,0,5,1,2,3,4,4,0,1,0,0,4,0,7,6,0,0,2014
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,15,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,238
food_and_drink,0,0,0,0,0,0,1,0,0,0,81,134,0,1,1,0,0,0,25,28,0,12,0,0,0,0,2,0,1,6,0,0,809
conferences_and_other_events,0,0,2,0,0,0,1,0,0,0,648,176,1,2,0,0,5,0,10,0,4,10,2,0,0,1,3,0,3,1,0,0,952
gaming,2,0,1,0,0,0,4,0,0,0,562,407,0,4,6,1,5,0,8,14,12,6,1,2,0,0,1,0,7,9,0,0,1450
literature,0,0,0,0,0,0,0,0,0,0,22,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,169
business,0,0,0,0,1,3,0,0,0,0,158,160,0,2,0,0,0,1,4,4,1,2,0,0,0,86,0,0,0,0,0,0,480
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,787,217,1,20,8,1,5,0,0,2,0,0,1,3,0,0,0,0,0,3,0,0,699
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
comedy,3,5,2,0,0,0,0,0,0,1,347,901,7,14,1,0,3,0,11,15,2,7,0,0,0,0,0,0,2,9,0,0,1594
default_category,8,6,2,10,2,4,0,0,0,3,2825,2706,8,9,4,12,12,10,24,18,1,19,1,1,35,6,7,2,6,36,0,2,5768
videoblogging,1,0,0,0,0,0,0,0,0,2,183,597,4,12,3,2,9,0,3,3,2,3,0,2,0,1,1,25,2,3,0,0,1763
documentary,1,0,0,1,0,0,0,0,0,0,613,627,8,12,15,4,11,0,0,0,12,0,0,3,0,0,12,8,6,0,19,0,1829
