category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69,cluster 70,cluster 71,cluster 72,cluster 73,cluster 74,cluster 75,cluster 76,cluster 77,cluster 78,cluster 79
art,17,18,135,72,329,38,174,49,33,14,25,30,45,1,9,47,48,0,36,39,56,14,128,11,69,13,18,82,31,34,64,141,10,55,651,26,146,216,10,11,1,44,14,46,129,37,32,38,18,41,20,60,25,37,116,65,22,42,87,23,9,95,69,49,50,109,83,25,155,4,32,37,42,21,46,6,62,17,16,28
movies_and_television,100,29,151,113,837,46,233,103,5,147,74,2,157,11,32,46,53,0,178,74,123,37,67,10,120,21,30,57,24,116,246,130,33,176,528,29,49,198,23,41,39,155,112,64,405,33,261,26,37,69,149,59,8,468,104,265,42,37,18,55,4,361,31,69,70,184,71,162,75,16,18,22,122,157,183,7,60,25,7,18
web_development_and_sites,1,4,23,15,5,0,17,8,4,0,2,49,38,0,4,0,3,0,4,4,0,6,6,0,0,16,7,8,21,2,10,11,10,0,17,10,0,16,0,2,0,5,5,7,9,0,0,10,3,8,1,0,42,2,12,22,31,6,11,2,43,6,0,27,7,0,1,3,4,7,1,17,1,0,1,38,4,4,2,0
politics,42,88,4328,72,246,135,1459,273,58,6,72,428,129,11,0,89,153,0,111,32,81,195,95,2,132,222,35,51,404,3453,87,203,47,67,139,1010,1225,626,97,9,59,301,44,2153,204,67,122,51,41,51,70,20,171,38,918,91,110,17,42,47,48,146,133,93,86,331,137,57,32,327,2,122,102,18,93,203,522,13,23,8
sports,4,15,47,50,141,47,61,51,67,26,23,23,25,6,25,31,27,0,33,53,15,61,32,4,35,22,14,49,62,81,85,97,49,115,251,83,34,57,9,27,63,52,49,283,113,10,18,66,40,32,19,25,18,30,30,86,22,15,53,25,6,68,16,18,40,26,23,42,98,1,17,32,43,37,37,20,36,32,65,8
technology,8,103,372,102,71,110,595,390,74,19,16,91,82,2,35,10,55,1,50,77,11,67,80,3,49,112,124,72,161,1047,141,246,232,28,104,139,102,137,17,12,11,252,36,33,73,36,11,51,28,70,40,49,530,20,223,69,199,31,185,29,55,56,19,161,35,28,84,30,38,30,66,116,28,13,58,346,96,15,18,9
educational,3,65,149,133,118,65,254,94,48,12,12,492,123,10,17,8,30,0,29,61,12,78,115,8,11,71,74,58,104,312,80,181,71,31,73,111,39,150,21,10,10,62,17,63,56,11,11,44,48,93,10,43,252,58,93,66,209,46,48,11,31,165,8,137,26,44,18,54,58,4,5,95,25,14,20,268,21,5,9,19
religion,3,14,223,95,165,27,167,202,0,16,19,313,68,3,6,10,14,0,49,33,23,44,8,0,16,89,3,12,25,188,59,82,12,17,182,7,13,196,2,3,0,100,20,7,70,4,21,27,14,14,12,12,6,29,572,53,368,5,7,7,0,188,13,1070,28,22,5,242,11,2,4,40,19,14,11,11,23,2,0,8
travel,2,3,0,5,43,17,9,0,13,4,9,1,3,1,10,1,2,0,3,4,14,31,9,0,9,1,1,3,9,1,17,5,12,10,44,5,0,2,1,10,0,3,6,14,32,1,8,13,17,15,12,4,5,18,2,10,1,4,12,3,4,0,3,1,2,4,1,9,21,47,1,5,3,3,14,2,0,13,5,4
music_and_entertainment,28,13,163,72,730,10,11,23,38,47,67,4,43,14,102,27,8,2,18,132,91,26,10,25,64,10,26,44,8,5,165,41,6,104,363,21,48,61,55,31,19,24,38,3,210,15,73,129,38,26,64,79,2,67,154,111,29,25,21,24,11,41,15,33,24,63,25,27,317,6,200,28,33,31,96,3,20,46,4,28
the_environment,0,1,3,6,5,14,40,6,6,1,1,1,3,0,3,4,1,0,4,1,0,1,8,1,1,3,4,62,18,477,4,20,20,9,7,6,0,1,537,3,0,4,2,11,3,5,5,5,33,13,0,21,3,1,0,11,4,6,26,6,6,1,0,0,1,4,13,0,3,6,4,18,2,0,0,0,5,1,7,5
school_and_education,1,9,9,7,13,11,2,2,4,6,0,8,7,0,3,1,1,0,9,8,6,1,6,0,12,1,9,11,12,0,15,6,13,10,76,5,0,12,0,0,0,4,6,0,17,4,1,3,4,12,5,6,6,7,5,15,21,7,10,2,3,6,2,15,3,3,0,4,13,1,0,12,7,4,3,15,4,0,0,0
health,1,11,66,11,31,0,117,11,5,0,4,11,4,40,0,27,29,0,17,10,2,34,8,0,64,48,3,10,24,95,29,72,3,9,40,383,190,39,0,0,0,15,6,286,25,5,18,8,6,11,0,2,3,58,19,13,6,3,4,4,0,16,1,8,14,52,56,13,12,10,0,21,29,2,1,4,26,0,0,0
citizen_journalism,25,13,258,27,71,26,369,157,1,9,22,7,34,8,1,84,35,0,38,28,30,7,12,4,90,53,10,20,7,141,31,87,20,28,48,17,247,147,27,7,4,167,10,34,64,101,34,28,7,11,14,4,18,35,170,54,36,5,53,38,4,60,106,46,39,187,134,55,20,18,2,30,36,26,14,2,123,31,13,4
personal_or_auto-biographical,0,3,1,10,5,4,0,1,3,1,1,0,1,0,11,0,0,0,0,25,0,5,0,0,0,5,3,4,7,1,11,7,5,4,2,8,1,8,0,3,1,3,1,2,4,0,1,20,5,7,0,4,1,1,1,5,0,6,3,1,8,2,0,0,0,1,0,6,31,2,11,8,1,1,1,1,1,4,0,1
food_and_drink,1,24,6,25,18,52,27,8,6,0,4,0,21,3,10,0,5,0,8,1,3,2,11,0,7,2,21,43,19,10,20,22,38,32,12,18,1,11,13,8,0,4,10,74,38,1,6,13,34,18,3,40,3,0,3,60,8,12,86,2,23,12,0,6,11,6,6,3,17,1,6,25,11,3,9,5,0,10,6,14
conferences_and_other_events,2,18,116,54,13,13,175,72,9,6,3,14,24,2,4,2,12,0,18,21,2,12,7,0,23,71,9,16,17,89,20,62,3,11,18,9,57,46,3,0,15,49,14,30,17,19,8,14,2,14,4,4,49,35,62,39,69,8,14,1,0,40,20,49,10,23,13,5,1,0,5,13,28,3,16,40,28,0,3,4
gaming,4,20,121,31,166,20,98,32,32,16,11,1,29,1,40,7,37,0,13,60,5,114,50,3,19,28,19,24,5,7,74,39,28,25,76,2,5,135,19,26,7,32,18,21,62,0,10,28,21,48,14,41,10,24,51,38,24,21,23,19,9,72,8,36,34,12,8,43,84,8,45,9,42,22,25,4,3,78,1,5
literature,0,3,3,0,1,0,2,3,7,1,0,0,0,0,0,0,3,0,1,0,0,56,0,0,0,0,2,0,7,6,3,0,1,2,0,0,0,2,0,26,23,3,0,7,1,0,0,12,0,4,0,0,0,0,2,3,1,0,0,0,2,0,0,3,1,0,0,0,1,0,0,21,0,1,2,0,0,38,1,0
business,0,10,21,26,9,9,29,28,2,0,2,14,5,0,3,0,11,0,2,17,0,29,1,0,2,15,8,6,47,54,12,19,19,3,14,29,10,7,4,5,5,11,6,61,6,3,6,8,8,1,3,10,14,15,13,9,13,4,11,2,6,93,1,3,3,4,3,2,3,28,4,19,12,3,6,15,8,4,2,2
the_mainstream_media,12,8,14,34,51,6,117,110,1,2,26,14,8,9,9,46,7,0,9,23,30,3,9,3,30,16,5,8,208,118,17,40,2,5,29,85,17,28,7,0,12,104,3,15,16,5,42,9,6,4,43,11,4,11,37,13,11,2,3,8,0,12,1,39,7,22,22,11,2,1,1,9,1,7,9,10,49,2,12,5
autos_and_vehicles,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,11,0,0,0,0,0,0,0,6,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
comedy,11,23,95,57,297,24,71,20,11,8,15,21,31,0,12,2,17,0,20,29,29,16,32,1,12,36,13,42,30,102,74,42,43,74,189,61,29,49,45,42,32,27,27,87,149,12,21,6,43,22,8,39,6,16,28,82,51,43,27,13,10,28,17,42,35,13,24,10,70,1,44,23,10,11,51,10,10,40,1,10
default_category,23,70,461,162,539,126,525,216,135,60,28,292,95,57,95,39,38,2,80,152,51,110,128,17,61,106,86,118,112,712,216,181,136,118,519,178,247,274,65,101,58,173,43,237,286,65,56,120,66,108,39,81,288,72,288,153,117,62,116,66,109,116,55,120,106,178,67,108,303,69,135,140,135,54,90,169,170,118,48,32
videoblogging,17,16,19,52,135,33,39,12,20,17,23,28,25,0,23,6,4,1,10,70,27,77,19,11,13,7,20,34,32,151,66,39,20,42,114,34,36,18,22,39,37,17,22,59,89,33,48,62,28,24,25,41,9,42,13,50,22,50,18,18,29,32,6,28,19,16,23,2,107,20,37,43,25,14,35,1,17,66,10,13
documentary,45,29,205,24,209,26,36,11,24,25,25,2,39,6,13,22,56,0,61,67,28,45,18,11,43,9,6,18,10,91,66,19,4,65,185,2,85,130,13,22,21,21,23,36,106,33,46,29,9,19,33,17,4,41,123,50,14,12,1,23,2,73,55,29,75,57,56,62,22,5,36,8,79,30,39,2,53,10,12,20
