category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,89,17,35,105,184,218,280,166,222,118,131,936,38,155,33,73,241,75,99,129,77,226,464,148,77,81,0,166,200,14
movies_and_television,190,16,82,135,276,87,120,123,969,292,248,1073,125,24,7,281,200,102,357,396,79,782,1167,300,105,119,0,500,284,78
web_development_and_sites,41,71,5,1,1,1,29,7,4,2,10,12,83,21,101,12,14,23,18,5,1,22,13,3,103,27,0,4,23,8
politics,764,116,11,210,302,1749,1003,134,250,288,375,341,91,68,417,3014,5042,3130,1834,287,87,443,373,309,163,129,0,503,1020,572
sports,183,44,51,81,75,68,227,64,154,52,76,475,42,142,19,133,61,271,77,109,46,355,247,120,95,86,0,71,67,160
technology,699,279,36,200,115,180,739,108,78,62,367,187,425,234,718,1142,345,40,537,123,170,220,219,101,290,337,1,36,339,97
educational,295,285,19,111,58,59,275,162,162,29,201,144,534,108,611,228,168,413,335,46,43,181,193,41,541,115,0,54,105,94
religion,389,2,5,50,37,30,194,22,199,62,293,320,169,5,10,116,343,116,139,55,19,197,180,41,353,27,0,55,1996,45
travel,15,8,20,22,17,0,17,12,23,21,8,97,6,19,3,15,2,13,7,21,13,61,80,17,5,28,0,13,2,71
music_and_entertainment,89,14,127,97,137,78,80,37,131,55,152,705,17,68,8,103,215,43,33,130,231,372,1299,89,121,147,0,153,197,30
the_environment,26,10,2,33,17,3,19,18,2,5,27,15,0,8,1,1065,4,1,43,21,96,18,13,8,12,34,0,15,0,1
school_and_education,49,45,0,12,9,3,19,18,13,10,4,101,44,26,4,2,4,9,5,13,3,34,32,17,17,13,0,5,13,2
health,60,3,0,13,64,234,330,20,96,17,32,51,35,8,30,399,91,1,259,23,11,49,78,88,48,10,0,68,32,55
citizen_journalism,107,44,33,42,192,397,145,27,145,160,243,115,72,68,20,167,376,35,427,194,16,147,105,156,77,24,0,269,242,38
personal_or_auto-biographical,9,11,6,4,1,1,25,7,14,0,32,27,6,9,0,2,3,3,6,3,20,27,26,0,3,29,0,2,4,5
food_and_drink,39,4,19,122,29,2,34,29,15,7,30,38,12,34,2,90,15,17,32,14,113,190,48,17,20,101,0,12,12,4
conferences_and_other_events,95,8,0,33,36,83,54,17,77,31,151,39,123,9,82,60,143,71,242,33,38,109,23,37,45,21,0,35,97,29
gaming,26,27,84,76,49,9,44,93,138,28,136,200,34,41,13,53,196,20,132,71,79,147,282,76,52,104,0,24,140,128
literature,6,0,53,2,0,0,0,4,0,1,6,2,0,3,1,47,5,1,3,2,10,14,8,5,0,8,0,0,5,69
business,69,54,2,21,14,17,58,1,109,3,66,13,16,5,26,122,28,4,37,13,19,23,24,17,43,24,0,9,14,51
the_mainstream_media,99,0,4,23,50,53,82,9,41,23,398,56,1,3,9,144,33,12,186,58,13,41,98,50,15,17,0,121,89,19
autos_and_vehicles,8,2,0,0,0,0,13,0,0,0,1,0,1,4,1,0,0,0,1,0,0,2,0,0,10,0,0,1,0,0
comedy,99,15,73,83,54,43,84,49,65,48,104,351,65,22,12,238,120,76,111,77,105,282,446,39,21,109,0,35,58,40
default_category,329,255,168,239,228,407,343,221,283,160,508,903,264,195,460,595,594,758,705,305,314,567,984,152,299,347,2,279,448,235
videoblogging,79,48,118,83,64,57,83,38,56,29,77,271,21,53,44,246,33,37,46,112,64,217,284,35,83,102,1,68,60,112
documentary,40,8,46,71,158,148,42,19,171,138,90,321,84,22,3,165,271,24,40,173,58,176,363,124,61,32,0,117,159,57
