cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,151,327,6,311,124,125,60,18,16,108,6,48,95,161,0,18,39,81,5,18,47,0,40,160,41,131
cluster11,322,1005,83,575,430,444,450,63,81,570,95,236,75,190,41,215,121,204,18,58,60,6,383,805,284,244
cluster12,58,142,1,112,47,44,47,7,7,46,7,28,30,41,1,28,31,47,0,12,5,0,20,161,31,94
cluster13,216,330,69,1052,87,509,427,38,4,201,0,2123,37,257,7,17,151,137,5,20,87,1,115,532,67,171
cluster14,107,136,4,254,89,265,173,25,23,99,35,51,13,48,11,122,35,81,5,28,23,0,86,281,90,73
cluster15,20,22,10,379,52,48,22,2,60,7,6,2,48,38,2,1,2,13,0,31,12,0,1,147,25,30
cluster16,15,74,6,259,126,78,87,1,31,38,1,44,34,16,7,2,31,121,85,35,16,0,47,163,103,65
cluster17,170,127,13,142,66,153,207,20,11,38,21,22,21,29,7,30,18,97,6,6,9,0,51,244,42,18
cluster18,175,503,5,510,72,52,61,5,14,157,15,57,79,289,2,12,33,26,0,9,115,1,37,286,71,122
cluster19,39,206,6,120,37,55,39,10,8,21,4,55,18,40,0,9,23,20,1,0,13,0,26,86,13,71
cluster21,85,117,0,173,22,26,13,2,4,37,0,16,1,132,0,0,22,11,0,1,10,0,26,77,18,67
cluster20,142,241,96,1187,199,1219,677,44,12,71,33,548,70,289,15,46,228,75,13,114,411,7,112,718,87,39
cluster23,1321,2005,33,606,638,340,318,120,155,1864,18,479,121,193,40,75,59,398,6,33,132,0,710,1762,472,605
cluster22,73,220,3,187,47,88,30,10,14,86,5,24,8,158,1,2,23,30,0,9,48,0,29,157,73,80
cluster25,229,97,23,155,189,397,153,25,32,284,104,20,20,87,23,143,46,118,12,25,14,4,121,505,113,84
cluster24,68,222,8,103,69,81,39,13,5,69,13,51,16,53,1,13,19,53,2,1,16,0,52,188,46,108
cluster8,90,131,67,155,101,476,240,33,31,159,42,26,9,42,32,105,22,116,11,43,18,1,116,481,133,36
cluster9,140,189,1,223,39,96,31,6,12,119,13,26,59,167,0,9,16,18,0,3,47,0,46,121,53,85
cluster2,39,73,11,31,100,31,25,3,27,113,12,6,4,47,13,33,0,136,67,9,6,1,96,275,170,39
cluster3,223,971,11,253,162,114,260,18,25,136,2,221,102,166,17,13,87,163,1,30,46,0,66,319,68,176
cluster0,7,8,0,2,4,4,4,0,0,24,1,0,0,3,0,0,0,3,0,0,3,0,1,15,8,11
cluster1,325,395,80,2939,222,1560,763,18,23,52,64,293,557,543,17,56,311,153,3,86,255,13,164,1176,107,60
cluster6,258,276,41,5105,76,537,265,17,2,229,4,402,105,393,3,18,191,211,4,34,35,0,138,724,34,308
cluster7,171,280,27,217,163,287,275,15,16,236,18,146,60,106,40,38,87,121,0,53,95,4,127,432,141,107
cluster4,217,93,1,1758,69,197,62,4,0,80,4,31,232,389,1,2,85,11,0,18,67,0,43,411,53,140
cluster5,136,327,60,6166,421,1198,882,9,23,114,994,514,391,206,4,94,141,58,11,134,157,6,271,1321,278,163
